loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_plx
219,GJ 357 b,GJ 357,b,1,3,Transit,2019,0,3.93072,0.035,1.217,0.109,1.84,0.00579,Mass,,12.6,525,89.12,M2.5 V,3505,0.34,0.34,-1.798,9.44181,105.883
220,GJ 357 c,GJ 357,c,1,3,Radial Velocity,2019,0,9.1247,0.061,1.66,0.148,3.4,0.0107,Msini,,4.45,401,,M2.5 V,3505,0.34,0.34,-1.798,9.44181,105.883
221,GJ 357 d,GJ 357,d,1,3,Radial Velocity,2019,0,55.661,0.204,2.34,0.209,6.1,0.01919,Msini,,0.38,220,,M2.5 V,3505,0.34,0.34,-1.798,9.44181,105.883
222,GJ 3634 b,GJ 3634,b,1,1,Radial Velocity,2010,0,2.64561,0.0287,2.83,0.253,8.4,0.026,Mass,0.08,,,59,M2.5,3517,0.43,0.45,-1.699,20.3779,49.044
223,GJ 367 b,GJ 367,b,1,1,Transit,2021,0,0.321962,0.0071,0.718,0.064,0.546,0.00172,Mass,0,586.61,1745,80.75,M1.0 V,3522,0.46,0.45,-1.541,9.41263,106.211
224,GJ 3779 b,GJ 3779,b,1,1,Radial Velocity,2018,0,3.0232,0.026,2.75,0.245,8,0.02517,Msini,0.07,,,,M4.0 V,3324,0.28,0.27,-2.062,13.743,72.7352
225,GJ 3929 b,GJ 3929,b,1,1,Transit,2022,0,2.6162745,0.02569,1.15,0.103,1.21,0.00381,Mass,,17.5,569,89.65,M3.5 V,3369,0.32,0.31,-1.937,15.8095,63.224
226,GJ 393 b,GJ 393,b,1,1,Radial Velocity,2021,0,7.02679,0.05402,1.17,0.104,1.71,0.00538,Msini,,9.21,485,,M2.0 V,3579,0.43,0.43,-1.571,7.03149,142.188
227,GJ 3942 b,GJ 3942,b,1,1,Radial Velocity,2017,0,6.905,0.0608,2.57,0.229,7.14,0.02246,Msini,0.121,,590,,M0,3867,0.61,0.63,-1.12,16.9287,59.0421
228,GJ 3998 b,GJ 3998,b,1,2,Radial Velocity,2016,0,2.64977,0.029,1.38,0.123,2.47,0.00777,Msini,0,,,,M1,3722,0.49,0.5,-1.387,18.1459,55.0799
229,GJ 3998 c,GJ 3998,c,1,2,Radial Velocity,2016,0,13.74,0.089,2.38,0.212,6.26,0.0197,Msini,0.049,,,,M1,3722,0.49,0.5,-1.387,18.1459,55.0799
230,GJ 411 b,GJ 411,b,1,2,Radial Velocity,2019,0,12.946,0.0789,1.45,0.129,2.69,0.00846,Msini,0.12,3.13,370,,M1.5 V,3601,0.39,0.39,-1.71,5.675773,392.4
231,GJ 414 A b,GJ 414 A,b,2,2,Radial Velocity,2021,0,50.8,0.2324,2.63,0.235,7.6,0.02391,Msini,0.45,,309,,K7 V,4120,0.68,0.65,-0.924,11.8893,84.0803
232,GJ 414 A c,GJ 414 A,c,2,2,Radial Velocity,2021,0,749.83,1.4,8.4,0.749,53.83,0.16937,Msini,0.105,,125,,K7 V,4120,0.68,0.65,-0.924,11.8893,84.0803
233,GJ 422 b,GJ 422,b,1,1,Radial Velocity,2014,0,20.129,0.111,3.33,0.297,11.07,0.03483,Msini,0.11,,,,M3.5 V,3323,0.37,0.35,-1.959,12.6631,78.9409
234,GJ 4276 b,GJ 4276,b,1,1,Radial Velocity,2019,0,13.352,0.082,4.22,0.377,16.57,0.05213,Msini,0.37,,,,M4.0,3387,0.41,0.41,-1.706,21.3362,46.8399
235,GJ 433 b,GJ 433,b,1,3,Radial Velocity,2011,0,7.3705,0.062,2.33,0.208,6.043,0.01901,Msini,0.04,,,,M1.5 V,3461,0.5,0.48,-1.699,9.06456,110.291
