loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_plx
507,HD 116029 b,HD 116029,b,2,2,Radial Velocity,2011,0,670,1.65,13.6,1.21,444.962,1.4,Msini,0,,,,K0,4819,4.89,0.83,1.053,123.245,8.08527
508,HD 116029 c,HD 116029,c,2,2,Radial Velocity,2018,0,907,,13.7,1.22,403.6441,1.27,Msini,0.038,,,,K0,4951,4.6,1.33,1.063,123.245,8.08527
509,HD 117207 b,HD 117207,b,1,1,Radial Velocity,2004,0,2621.75,3.787,13.4,1.2,612.14058,1.926,Msini,0.157,,,,G8 IV/V,5732,1.07,1.05,0.066,32.3547,30.8785
510,HD 11755 b,HD 11755,b,1,1,Radial Velocity,2015,0,433.70001,1.09,12.8,1.14,1789.3829,5.63,Msini,0.19,,,,G5,4312,20.58,0.72,2.169,235.045,4.22586
511,HD 117618 b,HD 117618,b,1,1,Radial Velocity,2004,0,25.8,0.18,8.59,0.766,55.30242,0.174,Msini,0.15,,,,G2 V,5990,1.2,1.08,0.213,37.7781,26.4417
512,HD 118203 b,HD 118203,b,1,1,Radial Velocity,2005,0,6.1335,0.07,13.2,1.18,886.7457,2.79,Msini,0.31,,,,K0,5864,2.06,1.84,0.646,92.2589,10.8102
513,HD 11964 b,HD 11964,b,2,2,Radial Velocity,2005,0,1945,3.16,14.1,1.26,198,0.622,Msini,0.041,,,,G9 V CN+1,5303,2.01,0.91,0.459,33.5369,29.789
514,HD 11964 c,HD 11964,c,2,2,Radial Velocity,2008,0,37.91,0.229,5.38,0.48,25,0.0788,Msini,0.3,,,,G9 V CN+1,5303,2.01,0.91,0.459,33.5369,29.789
515,HD 11977 b,HD 11977,b,1,1,Radial Velocity,2005,0,711,1.93,12.7,1.13,2080,6.54,Msini,0.4,,,,G8 III/IV,4970,10.09,1.91,1.839,67.9331,14.6943
516,HD 120084 b,HD 120084,b,1,1,Radial Velocity,2013,0,2082,4.3,12.9,1.15,1430.2,4.5,Msini,0.66,,,,G7 III,4892,9.12,2.39,1.64,103.044,9.67602
517,HD 121504 b,HD 121504,b,1,1,Radial Velocity,2003,0,63.33,0.33,13.6,1.21,479.9233,1.51,Msini,0.03,,,,G2 V,6027,1.07,1.62,0.19,41.6592,23.9754
518,HD 124330 b,HD 124330,b,1,1,Radial Velocity,2021,0,270.66,0.86,14,1.25,238.37131,0.75,Msini,0.34,,,0.808,G4 IV,5873,1.3,1.15,0.338,60.1977,16.583
519,HD 12484 b,HD 12484,b,1,1,Radial Velocity,2016,0,58.83,0.297,13.2,1.17,947.1334,2.98,Msini,0.07,,,,F8,5920,1,1.01,0.022,48.3367,20.6595
520,HD 125390 b,HD 125390,b,1,1,Radial Velocity,2019,0,1756.2,3.16,12,1.07,7043.1128,22.16,Msini,0.591,,,,G7 V,4850,6.47,1.36,1.124,153.647,6.47975
521,HD 125595 b,HD 125595,b,1,1,Radial Velocity,2009,0,9.6737,0.08,2.4,0.214,6.3566,0.02,Msini,0,,,,K4 V,4691,0.74,0.29,-0.617,28.1989,35.4337
522,HD 125612 b,HD 125612,b,2,3,Radial Velocity,2007,0,557.04,1.372,13.1,1.17,985.273,3.1,Msini,0.4553,,,,G3 V,5841,1.05,1.11,0.06,57.6207,17.3261
523,HD 125612 c,HD 125612,c,2,3,Radial Velocity,2009,0,4.15514,0.0524,4.36,0.389,17.48065,0.055,Msini,0.049,,,,G3 V,5841,1.05,1.11,0.06,57.6207,17.3261
524,HD 125612 d,HD 125612,d,2,3,Radial Velocity,2009,0,2835,4.06,12.6,1.13,2313.8024,7.28,Msini,0.1172,,,,G3 V,5841,1.05,1.11,0.06,57.6207,17.3261
525,HD 12648 b,HD 12648,b,1,1,Radial Velocity,2015,0,133.60001,0.54,13.4,1.2,622.9468,1.96,Msini,0.04,,,,G5,4835,11.02,0.67,1.753,182.192,5.45996
526,HD 126525 b,HD 126525,b,1,1,Radial Velocity,2018,0,960.41,1.837,10.3,0.919,75.32571,0.237,Msini,0.035,,,,G4 V,5638,0.98,0.9,-0.04,37.6506,26.5312
527,HD 12661 b,HD 12661,b,1,2,Radial Velocity,2000,0,262.70862,0.84,13.3,1.18,772.3269,2.43,Msini,0.38,,,,K0,5645,1.2,1.2,0.133,37.8478,26.3927
528,HD 12661 c,HD 12661,c,1,2,Radial Velocity,2002,0,1708,2.8145,13.4,1.2,575.884,1.812,Msini,0.031,,,,K0,5748,1.11,1.02,0.063,37.8478,26.3927
529,HD 126614 b,HD 126614,b,3,1,Radial Velocity,2009,0,1244,2.37,14.2,1.27,130.3103,0.41,Msini,0.41,,,,G8 IV,5568,1.32,1.26,0.083,73.0961,13.6519
530,HD 128311 b,HD 128311,b,1,2,Radial Velocity,2002,0,453.019,1.084,13.5,1.2,562.24127,1.769,Msini,0.303,,,30,K0,4965,0.76,0.83,-0.512,16.3292,61.2111
531,HD 128311 c,HD 128311,c,1,2,Radial Velocity,2005,0,921.538,1.74,13,1.16,1204.25787,3.789,Mass,0.159,,,55.95,K0,4965,0.76,0.83,-0.512,16.3292,61.2111
532,HD 128356 b,HD 128356,b,1,1,Radial Velocity,2016,0,298.2,0.87,13.9,1.24,282.8687,0.89,Msini,0.57,,,,K3 V,4875,0.85,0.65,-0.444,26.1548,38.2052
533,HD 129445 b,HD 129445,b,1,1,Radial Velocity,2009,0,1840,2.9,13.5,1.21,508.507,1.6,Msini,0.7,,,,G6 V,5605,1.18,0.99,0.09,67.4386,14.7995
534,HD 130322 b,HD 130322,b,1,1,Radial Velocity,1999,0,10.70871,0.0925,13.7,1.22,365.49,1.15,Msini,0.029,,720,,K0 V,5387,0.85,0.92,-0.235,31.8766,31.3423
535,HD 131496 b,HD 131496,b,1,1,Radial Velocity,2011,0,896,2.01,13.4,1.2,572.094,1.8,Msini,0.181,,,,K0,4846,4.44,1.34,0.991,131.849,7.55647
536,HD 131664 b,HD 131664,b,1,1,Radial Velocity,2008,0,1951,3.17,12.1,1.08,6076.9096,19.12,Msini,0.64,,,,G3 V,5892,1.08,1.19,0.164,52.8128,18.9059
537,HD 13167 b,HD 13167,b,1,1,Radial Velocity,2018,0,2613,4.1,13.1,1.17,1052.0173,3.31,Msini,0.563,,,,G3 V,5671,2.39,1.35,0.96,148.934,6.68592
538,HD 13189 b,HD 13189,b,1,1,Radial Velocity,2005,0,471.60001,1.25,12.4,1.11,3480.2385,10.95,Msini,0.27,,,,K2,4175,38.41,2.24,2.636,497.823,1.98134
539,HD 132406 b,HD 132406,b,1,1,Radial Velocity,2007,0,974,1.98,12.8,1.14,1709.9254,5.38,Msini,0.34,,,,G0,5783,1.34,1.03,0.26,70.7832,14.0987
540,HD 132563 b,HD 132563,b,3,1,Radial Velocity,2011,0,1544,2.62,13.6,1.21,473.547,1.49,Msini,0.22,,,,F8,6289,1.3,1.23,0.374,105.155,9.48093
541,HD 133131 A b,HD 133131 A,b,2,3,Radial Velocity,2016,0,649,1.44,13.6,1.21,451.3186,1.42,Msini,0.33,,,,G2 V,5799,0.96,0.95,-0.017,51.4736,19.3988
542,HD 133131 A c,HD 133131 A,c,2,3,Radial Velocity,2016,0,3568,4.49,14.3,1.28,133.4886,0.42,Msini,0.49,,,,G2 V,5799,0.96,0.95,-0.017,51.4736,19.3988
543,HD 133131 B b,HD 133131 B,b,2,3,Radial Velocity,2016,0,5769,6.15,13.3,1.18,794.575,2.5,Msini,0.61,,,,G2 V,5805,0.99,0.93,-0.009,51.2993,19.4648
544,HD 134060 b,HD 134060,b,1,2,Radial Velocity,2019,0,3.2696,0.0444,3.16,0.282,10.1,0.0318,Msini,0.45,,,,G3 IV,5966,1.16,1.09,0.158,24.0125,41.616
545,HD 134060 c,HD 134060,c,1,2,Radial Velocity,2019,0,1291.5646,2.3928,5.91,0.527,29.29,0.0922,Msini,0.11,,,,G3 IV,5966,1.16,1.09,0.158,24.0125,41.616
546,HD 134987 b,HD 134987,b,1,2,Radial Velocity,1999,0,258.17999,0.81,13.5,1.21,511.7063,1.61,Msini,0.23,,,,G5 V,5736,1.22,1.1,0.255,26.1804,38.1678
547,HD 134987 c,HD 134987,c,1,2,Radial Velocity,2009,0,5000,5.8,13.9,1.24,260,0.82,Msini,0.12,,,,G5 V,5585,1.25,1.1,0.255,26.1804,38.1678
548,HD 136352 b,HD 136352,b,1,3,Radial Velocity,2019,0,11.57797,0.0964,1.664,0.148,4.72,0.01485,Mass,0,111.6,905,88.49,G4 V,5664,1.06,0.87,0.016,14.682,68.0818
549,HD 136352 c,HD 136352,c,1,3,Radial Velocity,2019,0,27.59221,0.1721,2.916,0.26,11.24,0.03536,Mass,0,35.1,677,88.571,G4 V,5664,1.06,0.87,0.016,14.682,68.0818
550,HD 136352 d,HD 136352,d,1,3,Radial Velocity,2019,0,107.245,0.425,2.562,0.229,8.82,0.02775,Mass,0,5.74,431,89.73,G4 V,5664,1.06,0.87,0.016,14.682,68.0818
551,HD 136418 b,HD 136418,b,1,1,Radial Velocity,2009,0,464.29999,1.29,13.3,1.19,680.1562,2.14,Msini,0.25,,,,G5,4989,3.78,1.48,0.833,105.168,9.47978
552,HD 136925 b,HD 136925,b,1,1,Radial Velocity,2021,0,4540,5.13,13.9,1.24,266.97586,0.84,Msini,0.103,,,,,5773.19,1.19,0.88,0.134,47.874,20.8602
553,HD 137388 b,HD 137388,b,1,1,Radial Velocity,2011,0,330,0.89,9.32,0.832,63.566,0.2,Msini,0.36,,,,K2 IV,5181,0.88,0.68,-0.337,40.4841,24.6722
554,HD 137496 b,HD 137496,b,1,2,Transit,2021,0,1.62116,0.02732,1.31,0.117,4.04,0.01271,Mass,0,,2130,85.8,G,5799,1.59,1.04,0.366,155.317,6.41091
555,HD 137496 c,HD 137496,c,1,2,Radial Velocity,2021,0,479.9,1.2163,12.6,1.13,2434.5656,7.66,Msini,0.477,,370,,G,5799,1.59,1.04,0.366,155.317,6.41091
556,HD 13808 b,HD 13808,b,1,2,Radial Velocity,2021,0,14.1815,0.10519,3.35,0.299,11.2,0.03524,Msini,0.071,,,,K2 V,5035,0.78,0.77,-0.435,28.2305,35.3938
557,HD 13808 c,HD 13808,c,1,2,Radial Velocity,2021,0,53.753,0.2554,3.13,0.279,9.96,0.03134,Msini,0.156,,,,K2 V,5035,0.78,0.77,-0.435,28.2305,35.3938
558,HD 13908 b,HD 13908,b,1,2,Radial Velocity,2013,0,19.382,0.154,13.9,1.24,274.91,0.865,Msini,0.02,,,,F8 V,6255,1.67,1.29,0.602,79.5515,12.5417
559,HD 13908 c,HD 13908,c,1,2,Radial Velocity,2013,0,931,2.03,12.8,1.15,1630.4,5.13,Msini,0.12,,,,F8 V,6255,1.67,1.29,0.602,79.5515,12.5417
560,HD 13931 b,HD 13931,b,1,1,Radial Velocity,2009,0,4218,5.15,13.3,1.19,699.226,2.2,Msini,0.02,,,,G0,5867,1.25,1.3,0.196,47.3963,21.0701
561,HD 139357 b,HD 139357,b,1,1,Radial Velocity,2008,0,1125.7,2.36,12.5,1.11,3101.89,9.76,Msini,0.1,,,,K0,4700,11.47,1.35,1.823,112.09,8.89299
562,HD 1397 b,HD 1397,b,1,1,Transit,2018,0,11.53533,0.1097,11.5,1.026,131.89945,0.415,Mass,0.251,356,1228,88.99,G5 III/IV,5521,2.34,1.32,0.66,79.5702,12.5386
563,HD 14067 b,HD 14067,b,1,1,Radial Velocity,2014,0,1455,3.4,12.6,1.12,2479,7.8,Msini,0.533,,,,G9 III,4815,12.4,2.4,1.898,142.024,7.01247
564,HD 141004 b,HD 141004,b,1,1,Radial Velocity,2021,0,15.5083,0.1238,3.77,0.336,13.63484,0.0429,Msini,0.16,,,,G0Vvar,5885.38,1.39,1.05,0.346,11.8148,84.6121
565,HD 141399 b,HD 141399,b,1,4,Radial Velocity,2014,0,94.44,0.415,14.3,1.28,143.34133,0.451,Msini,0.04,,,,K0,5600,1.39,1.07,0.201,37.0169,26.9857
566,HD 141399 c,HD 141399,c,1,4,Radial Velocity,2014,0,201.99,0.689,13.6,1.22,422.7139,1.33,Msini,0.048,,,,K0,5600,1.39,1.07,0.201,37.0169,26.9857
567,HD 141399 d,HD 141399,d,1,4,Radial Velocity,2014,0,1069.8,2.09,13.7,1.22,375.0394,1.18,Msini,0.074,,,,K0,5600,1.39,1.07,0.201,37.0169,26.9857
568,HD 141399 e,HD 141399,e,1,4,Radial Velocity,2014,0,5000,5,14.1,1.25,209.7678,0.66,Msini,0.26,,,,K0,5600,1.39,1.07,0.201,37.0169,26.9857
569,HD 141937 b,HD 141937,b,1,1,Radial Velocity,2002,0,653.21997,1.5,12.5,1.11,3079.7727,9.69,Msini,0.41,,,,G2/G3 V,5870,1.03,1.09,0.022,33.3622,29.9453
570,HD 142 b,HD 142,b,2,2,Radial Velocity,2001,0,349.7,1.02,13.7,1.22,397.27,1.25,Msini,0.17,,,,G1 IV,6245,1.47,1.23,0.474,26.1853,38.1605
571,HD 142 c,HD 142,c,2,2,Radial Velocity,2012,0,6005,6.8,12.8,1.14,1684.4,5.3,Msini,0.21,,,,F7V,6245,1.47,1.23,0.474,26.1853,38.1605
572,HD 142022 A b,HD 142022 A,b,2,1,Radial Velocity,2005,0,1928,2.93,12.9,1.15,1411.1652,4.44,Msini,0.53,,,,K0,5421,1.04,0.9,0.004,34.2802,29.1424
573,HD 142245 b,HD 142245,b,3,1,Radial Velocity,2011,0,1299,2.78,13.1,1.17,975.7381,3.07,Msini,0,,,,K0,4922,4.63,3.5,1.13,97.2305,10.2562
574,HD 142415 b,HD 142415,b,1,1,Radial Velocity,2003,0,386.29999,1.06,13.5,1.2,530.7761,1.67,Msini,0.5,,,,G1 V,5940,1.04,1.07,0.06,35.5318,28.1149
575,HD 143105 b,HD 143105,b,1,1,Radial Velocity,2016,0,2.1974,0.0379,13.7,1.22,384.5743,1.21,Msini,0.07,,,,F5,6380,1.65,1.51,0.556,46.7789,21.3482
576,HD 143361 b,HD 143361,b,1,1,Radial Velocity,2008,0,1039.15,1.988,13.1,1.16,1122.57556,3.532,Msini,0.197,,,,G6 V,5507,0.92,0.97,-0.092,68.5146,14.567
577,HD 145377 b,HD 145377,b,1,1,Radial Velocity,2008,0,103.95,0.45,12.8,1.14,1913.3366,6.02,Msini,0.31,,,,G3 V,6014,1.05,1.2,0.193,53.4884,18.6669
578,HD 145457 b,HD 145457,b,1,1,Radial Velocity,2010,0,176.3,0.76,13.3,1.19,708.7609,2.23,Msini,0.11,,,,K0,4769,10.52,1.23,1.655,135.292,7.36251
579,HD 145675 c,14 Her,c,1,2,Radial Velocity,2021,0,25000,16.4,12.8,1.14,1843.40476,5.8,Msini,0.45,,,,K0V,5314.94,1,0.97,-0.151,17.9323,55.7363
580,HD 145934 b,HD 145934,b,1,1,Radial Velocity,2015,0,2730,4.6,13.3,1.19,724.62,2.28,Msini,0.053,,,,K0,4823.75,5.38,1.75,1.355,227.881,4.36009
581,HD 1461 b,HD 1461,b,1,2,Radial Velocity,2010,0,5.77152,0.0634,2.42,0.216,6.44,0.02026,Msini,0.172,,,,G0 V,5765,1.15,1.02,0.095,23.4534,42.609
582,HD 1461 c,HD 1461,c,1,2,Radial Velocity,2015,0,13.5052,0.1117,2.23,0.199,5.59,0.01759,Msini,0.305,,,,G0 V,5765,1.15,1.02,0.097,23.4534,42.609
583,HD 147018 b,HD 147018,b,1,2,Radial Velocity,2009,0,44.236,0.2388,13.4,1.19,674,2.12,Msini,0.4686,,,,G9 V,5441,0.94,0.93,-0.148,40.4256,24.7079
584,HD 147018 c,HD 147018,c,1,2,Radial Velocity,2009,0,1008,1.922,12.7,1.13,2080,6.56,Msini,0.133,,,,G9 V,5441,0.94,0.93,-0.148,40.4256,24.7079
585,HD 147379 b,HD 147379,b,2,1,Radial Velocity,2017,0,86.78,0.323,5.82,0.519,28.55,0.08983,Msini,0.07,,,,M1,4156,0.63,0.6,-0.971,10.7643,92.8704
586,HD 147513 b,HD 147513,b,2,1,Radial Velocity,2003,0,528.4,1.32,13.7,1.22,385,1.21,Msini,0.26,,,,G3/5V,5883,0.98,1.11,-0.01,12.9032,77.4716
587,HD 14787 b,HD 14787,b,1,1,Radial Velocity,2018,0,676.6,1.7,13.7,1.23,356.28743,1.121,Msini,0.155,,,,G5,4946,5.01,1.43,1.115,119.137,8.36526
588,HD 147873 b,HD 147873,b,2,2,Radial Velocity,2016,0,116.596,0.522,12.8,1.15,1633.6462,5.14,Msini,0.207,,,,G1 V,5972,2.29,1.38,0.777,109.055,9.14219
589,HD 147873 c,HD 147873,c,2,2,Radial Velocity,2016,0,491.54,1.36,13.3,1.19,731.009,2.3,Msini,0.23,,,,G1 V,5972,2.29,1.38,0.777,109.055,9.14219
590,HD 148156 b,HD 148156,b,1,1,Radial Velocity,2009,0,1027,2.45,13.9,1.24,270.144,0.85,Msini,0.52,,,,G0/2 V,6308,1.21,1.22,0.25,57.1289,17.4755
591,HD 148164 b,HD 148164,b,1,2,Radial Velocity,2018,0,328.55,0.993,13.7,1.22,390.9309,1.23,Msini,0.587,,,,F8,6032,1.34,1.21,0.33,77.1971,12.9252
592,HD 148164 c,HD 148164,c,1,2,Radial Velocity,2018,0,5062,6.15,12.8,1.15,1640.0028,5.16,Msini,0.125,,,,F8,6032,1.34,1.21,0.33,77.1971,12.9252
593,HD 148427 b,HD 148427,b,1,1,Radial Velocity,2009,0,331.5,1.04,13.6,1.22,413.179,1.3,Msini,0.16,,,,K0 III/IV,5025,3.86,1.64,0.78,71.3499,13.9869
594,HD 149026 b,HD 149026,b,1,1,Radial Velocity,2005,0,2.87589,0.04364,8.295,0.74,120.7754,0.38,Mass,0,,1626,84.55,G0,6179,1.41,1.42,0.48,75.8643,13.1526
595,HD 149143 b,HD 149143,b,1,1,Radial Velocity,2005,0,4.07182,0.053,13.6,1.22,422.7139,1.33,Msini,0.0167,,,,G0,5856,1.44,1.2,0.35,73.2801,13.6179
596,HD 1502 b,HD 1502,b,1,1,Radial Velocity,2011,0,428.5,1.262,13.2,1.18,874.0325,2.75,Msini,0.031,,,,K0,4947,4.67,1.46,1.064,190.953,5.20951
597,HD 150706 b,HD 150706,b,1,1,Radial Velocity,2012,0,5894,6.7,13.2,1.18,861.28,2.71,Msini,0.38,,,,G0 V,5961,0.96,1.17,0.032,28.2697,35.3446
598,HD 152079 b,HD 152079,b,1,1,Radial Velocity,2009,0,2918.92,4.187,13.2,1.18,845.74563,2.661,Msini,0.532,,,,G6 V,5907,1.13,1.15,0.107,87.8888,11.3494
599,HD 152581 b,HD 152581,b,1,1,Radial Velocity,2011,0,686.5,1.66,13.4,1.2,594.02427,1.869,Msini,0.04,,,,K0,5027,5.14,1.3,1.173,165.76,6.00438
600,HD 152843 b,HD 152843,b,1,2,Transit,2021,0,11.6264,0.1053,3.41,0.304,11.56,0.03637,Mass,0.14,255.7,1120,88.85,G0,6310,1.43,1.15,0.45,107.898,9.23914
601,HD 152843 c,HD 152843,c,1,2,Transit,2021,0,24.38,,5.83,0.52,27.5,0.08652,Mass,0.115,,,88.89,G0,6310,1.43,1.15,0.45,107.898,9.23914
602,HD 15337 b,HD 15337,b,1,2,Transit,2019,0,4.75615,0.0522,1.64,0.146,7.51,0.02363,Mass,0.09,161.67,1001,88.5,K1 V,5125,0.86,0.9,-0.326,44.8155,22.2848
603,HD 15337 c,HD 15337,c,1,2,Transit,2019,0,17.1784,0.1268,2.39,0.213,8.11,0.02552,Mass,0.05,8.36,642,88.5,K1 V,5125,0.86,0.9,-0.326,44.8155,22.2848
604,HD 153950 b,HD 153950,b,1,1,Radial Velocity,2008,0,499.39999,1.28,13.2,1.17,937.5985,2.95,Msini,0.34,,,,F8 V,6124,1.28,1.25,0.346,48.4549,20.609
605,HD 154088 b,HD 154088,b,1,1,Radial Velocity,2021,0,18.56,0.134,2.46,0.219,6.6,0.02077,Msini,0.344,,,,K0 IV-V,5374,0.95,0.91,-0.131,18.2692,54.708
606,HD 154345 b,HD 154345,b,1,1,Radial Velocity,2006,0,3341.55884,4.21,13.9,1.24,260.6206,0.82,Msini,0.04,,,,G8V,5468,0.85,0.71,-0.219,18.284,54.6636
607,HD 154672 b,HD 154672,b,1,1,Radial Velocity,2008,0,163.94,0.6,12.8,1.14,1706.7471,5.37,Msini,0.61,,,,G3 IV,5743,1.32,1.18,0.257,63.0484,15.8321
608,HD 154857 b,HD 154857,b,1,2,Radial Velocity,2004,0,408.60001,1.29,13.3,1.18,778.6835,2.45,Msini,0.46,,,,G5 V,5589,2.3,1.96,0.663,63.4482,15.7321
609,HD 154857 c,HD 154857,c,1,2,Radial Velocity,2014,0,3452,5.36,13.2,1.18,819.97,2.58,Msini,0.06,,,,G5 V,5605,1.76,1.72,0.665,63.4482,15.7321
610,HD 155193 b,HD 155193,b,1,1,Radial Velocity,2021,0,352.65,1.04,14,1.25,238.37131,0.75,Msini,0.21,,,0.711,F8 IV,6239,1.76,1.22,0.641,57.7995,17.2723
611,HD 155233 b,HD 155233,b,2,1,Radial Velocity,2015,0,818.8,2,13.2,1.18,826.358,2.6,Msini,0.04,,,,K1 III,4960,5.03,1.69,1.129,74.2309,13.4431
612,HD 155358 b,HD 155358,b,1,2,Radial Velocity,2007,0,194.3,0.63,13.8,1.23,314.6517,0.99,Msini,0.17,,,,G0,5905,1.38,1.15,0.299,43.6197,22.8965
613,HD 155358 c,HD 155358,c,1,2,Radial Velocity,2007,0,391.9,1.02,13.9,1.24,261,0.82,Msini,0.16,,,,G0,5900,1.38,0.92,0.299,43.6197,22.8965
614,HD 156279 b,HD 156279,b,1,2,Radial Velocity,2011,0,131.05,0.49,12.5,1.11,3140.1604,9.88,Msini,0.71,,,,G6,5453,0.95,0.95,-0.146,36.1945,27.5995
615,HD 156279 c,HD 156279,c,1,2,Radial Velocity,2018,0,4191,5.461,12.6,1.12,2733.338,8.6,Msini,0.231,,,,G6,5458.24,0.97,0.93,-0.146,36.1945,27.5995
616,HD 156411 b,HD 156411,b,1,1,Radial Velocity,2009,0,842.2,1.88,14,1.25,235.18,0.74,Msini,0.22,,,,F8 IV/V,5900,2.16,1.25,0.731,56.8655,17.5567
617,HD 156668 b,HD 156668,b,1,2,Radial Velocity,2010,0,4.6455,0.05,1.87,0.167,4.15,0.013,Msini,0,,,,K2,4850,0.72,0.77,0.23,24.3323,41.0687
618,HD 156668 c,HD 156668,c,1,2,Radial Velocity,2021,0,811.3,1.57,6.17,0.55,31.4968,0.0991,Msini,0.089,,,,K2,4903.69,0.77,0.79,-0.537,24.3323,41.0687
619,HD 156846 b,HD 156846,b,2,1,Radial Velocity,2007,0,359.51001,1.12,12.4,1.11,3391.2461,10.67,Msini,0.85,,,,G0 V,6090,1.9,1.38,0.697,47.7332,20.921
620,HD 158038 b,HD 158038,b,1,1,Radial Velocity,2011,0,521,1.5,13.5,1.21,486.2799,1.53,Msini,0.29,,,,K0,4860,4.5,1.3,1.076,94.8625,10.5127
621,HD 158259 b,HD 158259,b,1,5,Radial Velocity,2020,0,2.178,,1.214,,2.22,0.00698,Msini,,1460.74,1577,,G0,5801.89,1.21,1.08,0.212,27.0498,36.9399
622,HD 158259 c,HD 158259,c,1,5,Radial Velocity,2020,0,3.432,,2.23,0.199,5.6,0.01762,Msini,,,,,G0,5801.89,1.21,1.08,0.212,27.0498,36.9399
623,HD 158259 d,HD 158259,d,1,5,Radial Velocity,2020,0,5.1980814,,2.18,0.195,5.41,0.01702,Msini,,,,,G0,5801.89,1.21,1.08,0.212,27.0498,36.9399
624,HD 158259 e,HD 158259,e,1,5,Radial Velocity,2020,0,7.951,,2.34,0.209,6.08,0.01913,Msini,,,,,G0,5801.89,1.21,1.08,0.212,27.0498,36.9399
625,HD 158259 f,HD 158259,f,1,5,Radial Velocity,2020,0,12.028,,2.35,0.21,6.14,0.01932,Msini,,,,,G0,5801.89,1.21,1.08,0.212,27.0498,36.9399
626,HD 158996 b,HD 158996,b,1,1,Radial Velocity,2018,0,820.2,2.1,12.3,1.1,4449.62,14,Msini,0.13,,,,K5 III,4069,50.3,1.8,3.015,283.659,3.49765
627,HD 159243 b,HD 159243,b,1,2,Radial Velocity,2013,0,12.62,0.11,13.7,1.22,359.13,1.13,Msini,0.02,,,,G0 V,6123,1.12,1.12,0.114,73.3055,13.6128
628,HD 159243 c,HD 159243,c,1,2,Radial Velocity,2013,0,248.4,0.8,13.4,1.2,603.9,1.9,Msini,0.075,,,,G0 V,6123,1.12,1.12,0.114,73.3055,13.6128
629,HD 159868 b,HD 159868,b,1,2,Radial Velocity,2006,0,1184.1,2.32,13.3,1.19,704.94694,2.218,Msini,0.024,,,,G5 V,5534,2.13,1.19,0.556,55.8503,17.8763
630,HD 159868 c,HD 159868,c,1,2,Radial Velocity,2012,0,351,1.032,14,1.25,244.09344,0.768,Msini,0.184,,,,G5 V,5534,2.13,1.19,0.555,55.8503,17.8763
631,HD 1605 b,HD 1605,b,1,2,Radial Velocity,2015,0,577.2,1.492,13.8,1.23,296.85322,0.934,Msini,0.095,,,,K1 IV,4915,3.49,1.33,0.81,88.8047,11.232
632,HD 1605 c,HD 1605,c,1,2,Radial Velocity,2015,0,2149,3.584,13,1.16,1150.5446,3.62,Msini,0.099,,,,K1 IV,4915,3.49,1.33,0.81,88.8047,11.232
633,HD 160691 b,HD 160691,b,1,4,Radial Velocity,2000,0,643.25,1.497,13.5,1.2,532.68308,1.676,Msini,0.128,,,,G5 V,5807,1.38,1.08,0.278,15.5981,64.0817
634,HD 160691 c,HD 160691,c,1,4,Radial Velocity,2004,0,4205.8,5.235,13.4,1.2,576.519,1.814,Msini,0.0985,,,,G3IV/V,5807,1.38,1.08,0.278,15.5981,64.0817
635,HD 160691 d,HD 160691,d,1,4,Radial Velocity,2004,0,9.6386,0.09094,3.24,0.289,10.5547,0.03321,Msini,0.172,,900,,G3IV/V,5813,1.38,1.08,0.278,15.5981,64.0817
636,HD 160691 e,HD 160691,e,1,4,Radial Velocity,2006,0,310.55,0.921,14.2,1.27,165.8685,0.5219,Msini,0.0666,,,,G3IV/V,5771.56,1.38,1.08,0.278,15.5981,64.0817
637,HD 161178 b,HD 161178,b,1,1,Radial Velocity,2021,0,279.3,0.85,14.1,1.26,181.16219,0.57,Msini,0.044,,,,G9 III,4786,10.95,1.06,1.751,107.188,9.30071
638,HD 16141 b,HD 16141,b,2,1,Radial Velocity,2000,0,75.523,0.36,10.9,0.971,82.6358,0.26,Msini,0.25,,,,G5 IV,5757,1.48,1.11,0.366,37.7861,26.436
639,HD 16175 b,HD 16175,b,1,1,Radial Velocity,2009,0,990,2.12,12.8,1.15,1620.933,5.1,Msini,0.6,,,,G0,5981,1.72,1.63,0.508,59.859,16.6775
640,HD 162020 b,HD 162020,b,1,1,Radial Velocity,2002,0,8.4282,0.08,12.5,1.11,3127.4472,9.84,Msini,0.28,,,,K3 V,4723,0.75,0.42,-0.602,30.8248,32.4128
641,HD 163607 b,HD 163607,b,1,2,Radial Velocity,2010,0,75.2203,0.362,13.9,1.24,249.05159,0.7836,Msini,0.7441,,,,G5,5522,1.76,1.12,0.42,67.7855,14.7236
642,HD 163607 c,HD 163607,c,1,2,Radial Velocity,2010,0,1272,2.39,13.3,1.19,699.54383,2.201,Msini,0.08,,,,G5,5522,1.76,1.12,0.42,67.7855,14.7236
643,HD 16417 b,HD 16417,b,2,1,Radial Velocity,2008,0,17.24,0.14,5,0.446,22.1,0.0696,Msini,0.2,,,,G1 V,5841,1.64,1.2,0.443,25.3936,39.3512
